Total Customers Generated,Total Customers Served,Customers Left in Queue,Average Wait Time,Maximum Wait Time,Minimum Wait Time,Average Queue Length,Max Queue Length,Teller Utilization,Total Execution Time
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
365,364,0,105.47,933,162,46.05,82,57.15,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
348,347,0,103.44,824,137,41.68,73,51.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
383,382,0,168.43,930,192,71.7,110,52.6,0.0
