Total Customers Generated,Total Customers Served,Customers Left in Queue,Average Wait Time,Maximum Wait Time,Minimum Wait Time,Average Queue Length,Max Queue Length,Teller Utilization
93,93,0,41.66,620,2,5.75,11,94.64
93,93,0,59.52,729,46,5.15,13,100.0
93,93,0,62.16,764,28,5.16,13,100.0
93,93,0,92.05,846,44,8.76,16,100.0
93,93,0,88.77,732,56,10.32,20,100.0
93,93,0,93.38,897,46,9.95,18,100.0
93,93,0,84.25,734,49,7.65,18,100.0
93,93,0,58.26,682,182,7.92,13,93.59
93,93,0,65.68,804,73,8.03,14,95.52
93,93,0,81.43,875,299,7.53,13,100.0
93,93,0,74.29,734,40,8.4,15,100.0
93,93,0,59.56,732,57,6.41,11,100.0
93,93,0,60.24,666,197,7.25,13,93.65
93,93,0,83.72,734,48,9.31,21,100.0
93,93,0,38.82,610,231,6.32,10,87.29
93,93,0,68.7,734,120,7.65,13,100.0
93,93,0,53.71,596,7,7.17,13,94.32
93,93,0,52.34,653,268,6.7,11,95.99
93,93,0,62.04,786,77,7.46,16,94.22
93,93,0,53.38,795,73,5.74,14,100.0
93,93,0,37.39,736,49,6.25,12,89.17
93,93,0,67.17,795,81,7.12,16,100.0
93,93,0,56.13,810,65,5.14,10,100.0
93,93,0,48.1,939,56,4.74,14,100.0
93,93,0,79.06,832,3,9.48,17,94.84
93,93,0,13.25,596,68,3.16,10,94.48
93,93,0,64.85,781,53,5.95,15,100.0
93,93,0,91.09,946,81,7.91,17,100.0
93,93,0,65.88,865,66,6.78,15,100.0
93,93,0,50.24,761,49,5.75,14,99.95
93,93,0,49.27,775,66,5.71,13,100.0
93,93,0,67.87,960,77,6.15,14,100.0
93,93,0,40.51,763,111,5.49,13,93.75
93,93,0,59.34,823,66,6.01,13,100.0
93,93,0,58.47,935,70,5.65,12,100.0
93,93,0,6.95,525,111,5.75,13,81.51
93,93,0,54.54,905,39,5.31,13,100.0
93,93,0,25.29,680,46,4.86,11,90.57
93,93,0,54.11,795,82,5.2,11,100.0
93,93,0,28.78,795,46,2.71,9,100.0
93,93,0,42.73,822,35,4.54,10,98.96
93,93,0,46.32,722,77,5.94,10,90.21
93,93,0,60.89,795,61,6.33,15,100.0
93,93,0,52.95,761,51,5.99,14,99.43
93,93,0,64.09,895,58,6.33,15,100.0
93,93,0,21.58,583,94,6.82,14,86.35
88,88,0,46.35,783,111,4.82,12,98.59
88,88,0,12.34,515,78,4.15,8,84.32
88,88,0,64.48,834,58,5.32,13,99.84
88,88,0,36.8,705,66,4.84,10,94.11
88,88,0,31.48,746,43,3.75,7,92.97
88,88,0,40.47,788,109,3.94,10,99.01
88,88,0,36.32,691,45,5.0,11,94.32
88,88,0,62.25,340,6,3.07,9,80.26
88,88,0,23.23,743,72,6.39,14,94.32
88,88,0,45.67,651,52,3.09,9,90.16
88,88,0,33.1,794,116,5.16,10,98.85
88,88,0,54.57,788,125,3.0,8,98.28
88,88,0,27.06,784,109,5.19,11,98.44
88,88,0,53.22,768,97,2.84,7,95.63
88,88,0,51.45,778,101,4.99,12,97.97
88,88,0,14.58,794,120,4.64,10,98.96
88,88,0,60.74,286,30,2.88,6,71.04
88,88,0,46.15,868,64,4.67,13,99.9
88,88,0,53.15,712,40,5.4,11,89.69
88,88,0,45.65,717,126,4.69,12,99.79
88,88,0,50.35,778,63,5.2,10,93.33
88,88,0,44.56,816,54,5.32,12,94.64
88,88,0,33.76,787,102,4.2,10,97.92
88,88,0,26.88,698,111,3.0,9,98.96
88,88,0,44.19,785,64,4.1,9,89.22
88,88,0,33.26,794,103,4.18,11,99.27
88,88,0,36.24,794,110,3.41,8,98.54
94,94,0,39.87,761,35,4.43,10,96.67
94,94,0,39.87,809,323,4.05,7,99.43
94,94,0,49.79,809,323,4.05,7,99.43
94,94,0,39.87,809,176,4.48,10,100.0
94,94,0,52.26,809,323,4.05,7,99.43
94,94,0,46.78,798,201,5.11,10,99.22
94,94,0,50.97,655,142,6.21,13,89.43
94,94,0,62.77,809,115,4.7,11,100.0
94,94,0,52.38,816,122,5.94,13,96.09
94,94,0,50.79,809,108,4.49,10,99.84
94,94,0,30.13,711,93,5.48,12,95.73
94,94,0,45.8,629,155,4.07,7,89.43
94,94,0,84.36,809,315,3.9,8,99.17
94,94,0,46.9,780,130,8.07,18,99.95
94,94,0,75.52,723,90,4.95,12,96.3
94,94,0,11.6,902,188,5.2,13,100.0
94,94,0,44.47,396,60,2.44,5,83.18
94,94,0,60.55,809,257,4.5,8,96.56
94,94,0,54.73,809,135,4.84,12,100.0
94,94,0,14.01,902,324,5.27,9,99.79
94,94,0,14.16,443,12,4.0,8,80.47
94,94,0,56.5,512,14,3.31,7,69.32
94,94,0,23.46,755,161,4.99,12,98.65
94,94,0,51.86,607,115,3.72,7,86.04
94,94,0,53.06,771,119,5.88,12,95.89
94,94,0,43.14,806,255,4.97,9,88.96
94,94,0,65.45,644,87,4.88,11,83.49
94,94,0,44.7,768,115,6.06,14,98.33
94,94,0,42.63,809,326,4.52,8,99.48
94,94,0,15.73,809,259,4.3,8,99.74
94,94,0,76.8,477,5,3.45,7,82.03
94,94,0,39.87,863,186,7.03,15,100.0
97,97,0,44.82,144,68,3.14,10,74.74
97,97,0,31.97,916,33,4.2,14,100.0
97,97,0,23.68,620,21,3.72,11,100.0
97,97,0,27.19,597,25,2.99,12,100.0
97,97,0,29.65,620,93,3.18,8,100.0
97,97,0,33.4,620,24,3.62,10,100.0
97,97,0,35.96,620,25,4.14,11,100.0
97,97,0,25.74,620,26,4.33,12,100.0
97,97,0,13.38,596,78,2.74,11,100.0
97,97,0,57.53,560,24,3.64,11,92.45
97,97,0,30.22,745,25,5.2,15,100.0
97,97,0,45.41,620,24,3.74,11,100.0
97,97,0,18.79,620,38,5.52,15,100.0
97,97,0,29.65,455,51,3.92,9,92.81
97,97,0,25.07,620,24,3.62,10,100.0
97,97,0,37.48,428,50,5.44,13,93.39
97,97,0,28.19,818,39,4.31,11,98.18
97,97,0,37.57,620,12,3.26,8,100.0
97,97,0,39.3,813,135,4.0,8,97.19
97,97,0,17.11,620,99,4.05,11,100.0
97,97,0,44.27,552,128,2.06,7,93.44
97,97,0,24.0,648,33,4.92,13,100.0
97,97,0,33.71,541,4,3.36,11,96.25
97,97,0,15.59,877,11,3.67,9,100.0
97,97,0,45.38,521,27,2.28,10,94.22
97,97,0,24.57,813,102,4.44,12,100.0
97,97,0,5.21,268,45,7.01,15,64.69
97,97,0,56.08,370,141,3.22,8,76.25
90,90,0,0.04,859,28,5.52,14,100.0
90,90,0,24.87,209,43,2.94,9,83.13
90,90,0,24.37,462,118,3.39,9,95.0
90,90,0,29.41,505,22,2.99,7,98.33
90,90,0,28.69,562,56,3.49,10,100.0
90,90,0,26.59,562,62,2.82,8,100.0
90,90,0,26.59,189,26,3.08,7,81.41
90,90,0,26.59,562,70,3.1,7,100.0
90,90,0,11.78,562,70,3.1,7,100.0
90,90,0,39.27,308,63,3.93,9,88.7
90,90,0,22.33,751,69,3.09,8,100.0
90,90,0,35.02,725,62,3.68,10,89.27
90,90,0,37.08,562,60,4.03,11,100.0
90,90,0,48.93,562,77,3.98,11,100.0
90,90,0,56.6,920,80,4.7,10,100.0
90,90,0,24.93,870,61,6.48,14,100.0
90,90,0,26.56,401,60,4.08,10,88.07
90,90,0,46.82,642,52,2.4,7,99.74
90,90,0,26.44,819,66,4.96,11,100.0
90,90,0,30.54,525,181,3.02,7,98.96
90,90,0,53.86,525,24,3.73,10,98.44
90,90,0,48.09,767,52,5.81,11,99.95
90,90,0,15.77,660,69,4.89,13,100.0
90,90,0,27.73,168,30,4.07,9,75.94
90,90,0,24.26,777,36,2.26,8,99.43
90,90,0,3.69,543,3,3.48,7,93.85
90,90,0,12.93,233,68,3.28,8,84.11
90,90,0,21.64,429,72,2.53,6,93.65
90,90,0,22.93,538,40,2.69,7,99.84
90,90,0,45.1,473,114,3.42,9,97.14
90,90,0,55.98,915,57,4.51,9,99.69
98,98,0,25.73,903,57,5.31,14,100.0
